"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"FDUSD";10.50877814;"56,19";"SALDO DE 10,50877814 FDUSD CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"USDT";0.9826138;"5,24";"SALDO DE 0,9826138 USDT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"NEAR";0.07400736;"2,96";"SALDO DE 0,07400736 NEAR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BNB";7.989e-05;"0,25";"SALDO DE 0,00007989 BNB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"JASMY";0.03341398;"0,01";"SALDO DE 0,03341398 JASMY CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"PEPE";0.95;"0,00";"SALDO DE 0,95 PEPE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BRL";1.0;"0,00";"SALDO DE 1 BRL CUSTODIADO NA EXCHANGE COINBASE EM 31/12/2024.";""
"ATOM";0.399673;"18,71";"SALDO DE 0,399673 ATOM CUSTODIADO NA CARTEIRA KEPLR NA REDE COSMOS EM 31/12/2024.";""
"INJ";0.217423775;"37,94";"SALDO DE 0,21742378 INJ CUSTODIADO NA CARTEIRA KEPLR NA REDE INJECTIVE EM 31/12/2024.";""
"QUNT";1.0;"0,05";"SALDO DE 1 QUNT CUSTODIADO NA CARTEIRA KEPLR NA REDE INJECTIVE EM 31/12/2024.";""
"BNB";0.004046193;"12,87";"SALDO DE 0,00404619 BNB CUSTODIADO NA CARTEIRA METAMASK NA REDE BSC 0x2Fb5 EM 31/12/2024.";""
"MATIC";5.2096510648;"18,56";"SALDO DE 5,20965106 MATIC CUSTODIADO NA CARTEIRA METAMASK NA REDE BSC 0x2Fb5 EM 31/12/2024.";""
"ESE";184.4233355;"0,00";"SALDO DE 184,4233355 ESE CUSTODIADO NA CARTEIRA METAMASKAirdrops 0x2Fb5 EM 31/12/2024.";""
"ETH";0.0046057079;"92,05";"SALDO DE 0,00460571 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x2Fb5 EM 31/12/2024.";""
"DOP";467.76;"0,00";"SALDO DE 467,76 DOP CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x2Fb5 EM 31/12/2024.";""
"MATIC";8.0806309968;"28,79";"SALDO DE 8,080631 MATIC CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0x2Fb5 EM 31/12/2024.";""
"AVAX";0.0001837762;"0,03";"SALDO DE 0,00018378 AVAX CUSTODIADO NA CARTEIRA METAMASK NA REDE AVALANCHE EM 31/12/2024.";""
"BNB";0.0535656835;"170,39";"SALDO DE 0,05356568 BNB CUSTODIADO NA CARTEIRA METAMASK NA REDE BSC 0xb3aA EM 31/12/2024.";""
"ETH";0.0030065732;"60,09";"SALDO DE 0,00300657 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM EM 31/12/2024.";""
"USDC";2.148418;"35,31";"SALDO DE 2,148418 USDC CUSTODIADO NA CARTEIRA PHANTOM NA REDE POLYGON EM 31/12/2024.";""
"SFL";0.818245312;"0,46";"SALDO DE 0,81824531 SFL CUSTODIADO NA CARTEIRA PHANTOM NA REDE POLYGON EM 31/12/2024.";""
"MATIC";0.017996884;"0,06";"SALDO DE 0,01799688 MATIC CUSTODIADO NA CARTEIRA PHANTOM NA REDE POLYGON EM 31/12/2024.";""
"BILLY";19887.333743;"13428,77";"SALDO DE 19887,333743 BILLY CUSTODIADO NA CARTEIRA PHANTOM NA REDE SOLANA EM 31/12/2024.";""
"GRASS";119.426246669;"1965,02";"SALDO DE 119,42624667 GRASS CUSTODIADO NA CARTEIRA PHANTOM NA REDE SOLANA EM 31/12/2024.";""
"JITOSOL";0.091978058;"87,77";"SALDO DE 0,09197806 JITOSOL CUSTODIADO NA CARTEIRA PHANTOM NA REDE SOLANA EM 31/12/2024.";""
"SOL";0.077802611;"137,95";"SALDO DE 0,07780261 SOL CUSTODIADO NA CARTEIRA PHANTOM NA REDE SOLANA EM 31/12/2024.";""
"SLERF";71.670114511;"170,88";"SALDO DE 71,67011451 SLERF CUSTODIADO NA CARTEIRA PHANTOM NA REDE SOLANA EM 31/12/2024.";""
"JUP";10.621846;"78,52";"SALDO DE 10,621846 JUP CUSTODIADO NA CARTEIRA PHANTOM NA REDE SOLANA EM 31/12/2024.";""
"BNB";0.0310324758;"98,71";"SALDO DE 0,03103248 BNB CUSTODIADO NA CARTEIRA TRUST WALLET NA REDE BSC EM 31/12/2024.";""
"BABYDOGE";6390805218.374632;"174,75";"SALDO DE 6390805218,37463188 BABYDOGE CUSTODIADO NA CARTEIRA TRUST WALLET NA REDE BSC EM 31/12/2024.";""
"ONS";1260.5505043142;"0,00";"SALDO DE 1260,55050431 ONS CUSTODIADO NA CARTEIRA TRUST WALLET NA REDE BSC EM 31/12/2024.";""
