"asset";"total_quantity";"total_cost_brl";"total_value_brl";"description"
"BILLY (Billy)";19887.333743;13428.77;2394.78;"@ R$0.12 per BILLY"
"GRASS (Grass)";119.42624667;1965.02;1849.55;"@ R$15.49 per GRASS"
"BNB (Binance Coin)";0.08872424;282.22;389.79;"@ R$4,393.28 per BNB"
"ETH (Ethereum)";0.00761228;152.14;157.76;"@ R$20,724.06 per ETH"
"BABYDOGE (Baby Doge Coin)";6390805218.374632;174.75;127.82;"@ R$0.00 per BABYDOGE"
"JITOSOL (Jito Staked SOL)";0.09197806;87.77;126.77;"@ R$1,378.24 per JITOSOL"
"SOL (Solana)";0.07780261;137.95;91.96;"@ R$1,182.03 per SOL"
"SLERF (SLERF)";71.67011451;170.88;75.48;"@ R$1.05 per SLERF"
"FDUSD (First Digital USD)";10.50877814;56.19;65.11;"@ R$6.20 per FDUSD"
"JUP (Jupiter)";10.621846;78.52;54.76;"@ R$5.16 per JUP"
"MATIC (Polygon)";13.30827895;47.41;37.46;"@ R$2.81 per MATIC"
"ESE (Eesee)";184.4233355;0.0;31.33;"@ R$0.17 per ESE"
"INJ (Injective Protocol)";0.21742378;37.94;26.51;"@ R$121.91 per INJ"
"ATOM (Cosmos)";0.399673;18.71;15.41;"@ R$38.55 per ATOM"
"USDC (USD Coin)";2.148418;35.31;13.31;"@ R$6.20 per USDC"
"USDT (Tether)";0.9826138;5.24;6.09;"@ R$6.20 per USDT"
"DOP (Data Ownership Pr...)";467.76;0.0;4.14;"@ R$0.01 per DOP"
"NEAR (NEAR Protocol)";0.07400736;2.96;2.26;"@ R$30.59 per NEAR"
"$CWIF (catwifhat)";960000.0;2.9;1.55;"@ R$0.00 per $CWIF"
"SFL (Sunflower Land)";0.81824531;0.46;0.23;"@ R$0.29 per SFL"
"QUNT (Quants)";1.0;0.05;0.06;"@ R$0.06 per QUNT"
"AVAX (Avalanche)";0.00018378;0.03;0.04;"@ R$221.98 per AVAX"
"JASMY (Jasmy)";0.03341398;0.01;0.01;"@ R$0.20 per JASMY"
"PEPE (Pepe)";0.95;0.0;0.0;"@ R$0.00 per PEPE"
"ONS (Onschain)";1260.55050431;0.0;0.0;"@ R$0.00 per ONS"
"COMETH ITEMS#19343... (Cometh Items)";1.0;0.36;0.0;"@ R$0.00 per COMETH ITEMS"
"JD4#a4cct... (JD4)";1.0;0.0;0.0;"@ R$0.00 per JD4"
"PROMISED SUNSET (2024)#9mdst... (Promised";1.0;0.0;0.0;"@ R$0.00 per PROMISED SUNSET (2024)"
"SHYARLA#fp1tv... (Shyarla)";1.0;0.0;0.0;"@ R$0.00 per SHYARLA"
"THE HARVEST (MONOCHROME)#96kmw...";1.0;0.0;0.0;"@ R$0.00 per THE HARVEST"
