"wallet_name_raw";"wallet_type";"address";"blockchain";"currency";"amount";"price";"value";"cost_brl";"irpf_description"
"Binance";"Exchange";"";"Exchange";"FDUSD";10.50877814;6.2;65.11;56.19;"SALDO DE 10,50877814 FDUSD CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"USDT";0.9826138;6.2;6.09;5.24;"SALDO DE 0,9826138 USDT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"NEAR";0.07400736;30.59;2.26;2.96;"SALDO DE 0,07400736 NEAR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"BNB";7.989e-05;4393.28;0.35;0.25;"SALDO DE 0,00007989 BNB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"JASMY";0.03341398;0.2;0.01;0.01;"SALDO DE 0,03341398 JASMY CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"PEPE";0.95;0.0;0.0;0.0;"SALDO DE 0,95 PEPE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Coinbase";"Wallet";"";"None";"BRL";1.0;1.0;1.0;0.0;"SALDO DE 1 BRL CUSTODIADO NA EXCHANGE COINBASE EM 31/12/2024."
"Keplr Wallet - Cosmos (ATOM)";"Wallet";"";"None";"ATOM";0.399673;38.55;15.41;18.71;"SALDO DE 0,399673 ATOM CUSTODIADO NA CARTEIRA KEPLR NA REDE COSMOS EM 31/12/2024."
"Keplr Wallet - Injective (INJ)";"Wallet";"";"None";"INJ";0.217423775;121.91;26.51;37.94;"SALDO DE 0,21742378 INJ CUSTODIADO NA CARTEIRA KEPLR NA REDE INJECTIVE EM 31/12/2024."
"Keplr Wallet - Injective (INJ)";"Wallet";"";"None";"QUNT";1.0;0.06;0.06;0.05;"SALDO DE 1 QUNT CUSTODIADO NA CARTEIRA KEPLR NA REDE INJECTIVE EM 31/12/2024."
"MetaMask 2 - Airdrops - Binance Smart Chain (BNB) - 0x2Fb5...e4";"Exchange";"";"Exchange";"BNB";0.004046193;4393.28;17.78;12.87;"SALDO DE 0,00404619 BNB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"MetaMask 2 - Airdrops - Binance Smart Chain (BNB) - 0x2Fb5...e4";"Exchange";"";"Exchange";"MATIC";5.2096510648;2.81;14.66;18.56;"SALDO DE 5,20965106 MATIC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"MetaMask 2 - Airdrops - Blast - 0x2Fb5...e4";"Wallet";"";"None";"ESE";184.4233355;0.17;31.33;0.0;"SALDO DE 184,4233355 ESE CUSTODIADO NA CARTEIRA METAMASKAirdrops 0x2Fb5 EM 31/12/2024."
"MetaMask 2 - Airdrops - Ethereum (ETH) - 0x2Fb5...e4";"Wallet";"";"None";"ETH";0.0046057079;20724.06;95.45;92.05;"SALDO DE 0,00460571 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x2Fb5 EM 31/12/2024."
"MetaMask 2 - Airdrops - Ethereum (ETH) - 0x2Fb5...e4";"Wallet";"";"None";"DOP";467.76;0.01;4.14;0.0;"SALDO DE 467,76 DOP CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x2Fb5 EM 31/12/2024."
"MetaMask 2 - Airdrops - Polygon (MATIC) - 0x2Fb5...e4";"Wallet";"";"None";"MATIC";8.0806309968;2.81;22.74;28.79;"SALDO DE 8,080631 MATIC CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0x2Fb5 EM 31/12/2024."
"MetaMask Principal - Avalanche C-Chain (AVAX)";"Wallet";"";"None";"AVAX";0.0001837762;221.98;0.04;0.03;"SALDO DE 0,00018378 AVAX CUSTODIADO NA CARTEIRA METAMASK NA REDE AVALANCHE EM 31/12/2024."
"MetaMask Principal - Binance Smart Chain (BNB) - 0xb3aA...D1";"Exchange";"";"Exchange";"BNB";0.0535656835;4393.28;235.33;170.39;"SALDO DE 0,05356568 BNB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"MetaMask Principal - Ethereum (ETH)";"Wallet";"";"None";"ETH";0.0030065732;20724.06;62.31;60.09;"SALDO DE 0,00300657 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM EM 31/12/2024."
