"asset";"total_quantity";"total_cost_brl";"total_value_brl";"description"
"BTC (Bitcoin)";0.09416771;22375.01;54662.98;"@ R$580,485.36 per BTC"
"SOL (Solana)";26.72097804;16018.41;31584.95;"@ R$1,182.03 per SOL"
"ETH (Ethereum)";1.20416769;16977.17;24955.25;"@ R$20,724.06 per ETH"
"USDT (Tether)";1302.88453572;13299.68;8072.35;"@ R$6.20 per USDT"
"PENDLE (Pendle)";112.80708;2811.49;3436.13;"@ R$30.46 per PENDLE"
"COOKIE (Cookie)";2357.65;2149.22;3015.58;"@ R$1.28 per COOKIE"
"ENA (Ethena)";517.41207;2576.81;2939.05;"@ R$5.68 per ENA"
"STX (Stacks)";284.27942345;3793.93;2706.71;"@ R$9.52 per STX"
"NEAR (NEAR Protocol)";64.27566;2006.66;1966.32;"@ R$30.59 per NEAR"
"LINK (Chainlink)";11.32433;1003.44;1404.32;"@ R$124.01 per LINK"
"WOD (World of Dypians)";955.2;1203.92;1366.96;"@ R$1.43 per WOD"
"HYPC (HyperCycle)";1044.25;4512.88;1234.57;"@ R$1.18 per HYPC"
"RENDER (Render Token)";27.44506;854.02;1160.61;"@ R$42.29 per RENDER"
"GEAR (Gearbox Protocol)";8915.61;819.45;719.27;"@ R$0.08 per GEAR"
"BNB (Binance Coin)";0.09097584;234.33;399.68;"@ R$4,393.28 per BNB"
"ARB (Arbitrum)";24.14649241;220.47;108.33;"@ R$4.49 per ARB"
"MATIC (Polygon)";33.59590141;201.23;94.55;"@ R$2.81 per MATIC"
"WETH (WETH)";6.868e-05;1.34;1.42;"@ R$20,743.11 per WETH"
"VIRTUAL (Virtual Protocol)";0.00845561;0.03;0.21;"@ R$24.43 per VIRTUAL"
"XRP (Ripple)";0.00798;0.02;0.1;"@ R$13.00 per XRP"
"AEVO (Aevo)";0.01228419;0.19;0.03;"@ R$2.25 per AEVO"
"NEON (Neon EVM)";0.00631;0.04;0.01;"@ R$2.29 per NEON"
"ONDO (Ondo)";0.00061;0.0;0.01;"@ R$8.27 per ONDO"
"VR (Victoria VR)";0.0027;0.0;0.0;"@ R$0.08 per VR"
"TOMI (tomiNet)";0.00113;0.0;0.0;"@ R$0.09 per TOMI"
"VRA (Verasity)";0.00193;0.0;0.0;"@ R$0.02 per VRA"
"DOG (DOG•GO•TO•THE•MOON)";1e-08;0.0;0.0;"@ R$0.04 per DOG"
"UNI-V3-POS#1070319 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"SQT (SQUIDTAMA)";0.00115;0.0;0.0;"@ R$0.00 per SQT"
