"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"BTC";0.0941677121;"22375,01";"SALDO DE 0,09416771 BTC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"SOL";26.72097804;"16018,41";"SALDO DE 26,72097804 SOL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ETH";1.17805053;"16608,95";"SALDO DE 1,17805053 ETH CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"USDT";0.00100099;"0,01";"SALDO DE 0,00100099 USDT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"AEVO";0.00273419;"0,04";"SALDO DE 0,00273419 AEVO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"USDT";682.4163536;"6966,02";"SALDO DE 682,4163536 USDT CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"PENDLE";112.80708;"2811,49";"SALDO DE 112,80708 PENDLE CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"ENA";517.41207;"2576,81";"SALDO DE 517,41207 ENA CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"NEAR";64.27566;"2006,66";"SALDO DE 64,27566 NEAR CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"LINK";11.32433;"1003,44";"SALDO DE 11,32433 LINK CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"STX";146.48337;"1954,93";"SALDO DE 146,48337 STX CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"RENDER";27.44506;"854,02";"SALDO DE 27,44506 RENDER CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"XRP";0.00798;"0,02";"SALDO DE 0,00798 XRP CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"AEVO";0.00955;"0,15";"SALDO DE 0,00955 AEVO CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"NEON";0.00631;"0,04";"SALDO DE 0,00631 NEON CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"ONDO";0.00061;"0,00";"SALDO DE 0,00061 ONDO CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"TOMI";0.00113;"0,00";"SALDO DE 0,00113 TOMI CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"VRA";0.00193;"0,00";"SALDO DE 0,00193 VRA CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"SQT";0.00115;"0,00";"SALDO DE 0,00115 SQT CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"STX";137.7960534543;"1839,00";"SALDO DE 137,79605345 STX CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"USDT";8.7738e-06;"0,00";"SALDO DE 0,00000877 USDT CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"DOG";7.4e-09;"0,00";"SALDO DE 0,00000001 DOG CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
