"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"APT";1.69146856;"67,80";"SALDO DE 1,69146856 APT CUSTODIADO NA REDE APTOS EM 31/12/2024.";""
"STAPT";0.94731704;"36,67";"SALDO DE 0,94731704 STAPT CUSTODIADO NA REDE APTOS EM 31/12/2024.";""
"VAPT";1.0;"36,38";"SALDO DE 1 VAPT CUSTODIADO NA REDE APTOS EM 31/12/2024.";""
"DOODOO";12.88284737;"40,65";"SALDO DE 12,88284737 DOODOO CUSTODIADO NA REDE APTOS EM 31/12/2024.";""
"UPTOS";33047.35947313;"4,06";"SALDO DE 33047,35947313 UPTOS CUSTODIADO NA REDE APTOS EM 31/12/2024.";""
"USDC-APT";13.670578;"0,00";"SALDO DE 13,670578 USDC-APT CUSTODIADO NA REDE APTOS EM 31/12/2024.";""
"RETURD";0.10826991;"0,00";"SALDO DE 0,10826991 RETURD CUSTODIADO NA REDE APTOS EM 31/12/2024.";""
"ETH";0.0452091532;"1031,18";"SALDO DE 0,04520915 ETH CUSTODIADO NA REDE ARBITRUM EM 31/12/2024.";""
"USDC";1.539859;"9,02";"SALDO DE 1,539859 USDC CUSTODIADO NA REDE ARBITRUM EM 31/12/2024.";""
"USDC.E";1.388378;"0,00";"SALDO DE 1,388378 USDC.E CUSTODIADO NA REDE ARBITRUM EM 31/12/2024.";""
"WBTC";1.216e-05;"3,33";"SALDO DE 0,00001216 WBTC CUSTODIADO NA REDE ARBITRUM EM 31/12/2024.";""
"CUBE#5577757";1.0;"0,99";"SALDO DE 1 CUBE#5577757 CUSTODIADO NA REDE ARBITRUM EM 31/12/2024.";""
"CUBE#5578361";1.0;"0,98";"SALDO DE 1 CUBE#5578361 CUSTODIADO NA REDE ARBITRUM EM 31/12/2024.";""
"ETH";0.0003033862;"6,92";"SALDO DE 0,00030339 ETH CUSTODIADO NA REDE ARBITRUM 0xe6b1 EM 31/12/2024.";""
"USDC";0.004538;"0,03";"SALDO DE 0,004538 USDC CUSTODIADO NA REDE ARBITRUM 0xe6b1 EM 31/12/2024.";""
"SUPER";3219.1272;"29761,03";"SALDO DE 3219,1272 SUPER CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"RSR";283817.4875;"5758,74";"SALDO DE 283817,4875 RSR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"SUI";816.8823;"6233,17";"SALDO DE 816,8823 SUI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"TROY";406453.0;"4930,70";"SALDO DE 406453 TROY CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"OM";635.7948;"14191,19";"SALDO DE 635,7948 OM CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"AVA";1680.51409365;"5555,49";"SALDO DE 1680,51409365 AVA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"IDEX";14907.8303;"5637,70";"SALDO DE 14907,8303 IDEX CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"RARE";8715.22259549;"5988,79";"SALDO DE 8715,22259549 RARE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"THETA";429.7698;"5730,73";"SALDO DE 429,7698 THETA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"VIDT";29381.867;"5069,14";"SALDO DE 29381,867 VIDT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"HOT";337193.469;"5928,89";"SALDO DE 337193,469 HOT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"CAKE";299.280405;"5371,91";"SALDO DE 299,280405 CAKE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"CELR";38885.7796;"5667,34";"SALDO DE 38885,7796 CELR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"NKN";7752.793;"4964,82";"SALDO DE 7752,793 NKN CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"EOS";819.86146;"4990,51";"SALDO DE 819,86146 EOS CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"VIC";1423.00714;"5022,73";"SALDO DE 1423,00714 VIC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"XVS";58.19599;"4073,23";"SALDO DE 58,19599 XVS CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"STX";343.5881;"4989,82";"SALDO DE 343,5881 STX CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"GAL";204.155824;"4063,57";"SALDO DE 204,155824 GAL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"AXL";584.2152;"3879,35";"SALDO DE 584,2152 AXL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BLUR";1500.05956;"4988,23";"SALDO DE 1500,05956 BLUR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"USDT";330.00372002;"1904,96";"SALDO DE 330,00372002 USDT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
