"wallet_name_raw";"wallet_type";"address";"blockchain";"currency";"amount";"price";"value";"cost_brl";"irpf_description"
"APTOS";"Wallet";"";"None";"APT";1.69146856;53.91;91.19;67.8;"SALDO DE 1,69146856 APT CUSTODIADO NA REDE APTOS EM 31/12/2024."
"APTOS";"Wallet";"";"None";"STAPT";0.94731704;60.22;57.05;36.67;"SALDO DE 0,94731704 STAPT CUSTODIADO NA REDE APTOS EM 31/12/2024."
"APTOS";"Wallet";"";"None";"VAPT";1.0;53.91;53.91;36.38;"SALDO DE 1 VAPT CUSTODIADO NA REDE APTOS EM 31/12/2024."
"APTOS";"Wallet";"";"None";"DOODOO";12.88284737;1.49;19.25;40.65;"SALDO DE 12,88284737 DOODOO CUSTODIADO NA REDE APTOS EM 31/12/2024."
"APTOS";"Wallet";"";"None";"UPTOS";33047.35947313;0.0;3.7;4.06;"SALDO DE 33047,35947313 UPTOS CUSTODIADO NA REDE APTOS EM 31/12/2024."
"APTOS";"Wallet";"";"None";"USDC-APT";13.670578;0.0;0.0;0.0;"SALDO DE 13,670578 USDC-APT CUSTODIADO NA REDE APTOS EM 31/12/2024."
"APTOS";"Wallet";"";"None";"RETURD";0.10826991;0.0;0.0;0.0;"SALDO DE 0,10826991 RETURD CUSTODIADO NA REDE APTOS EM 31/12/2024."
"Arbitrum";"Wallet";"";"None";"ETH";0.0452091532;20724.06;936.92;1031.18;"SALDO DE 0,04520915 ETH CUSTODIADO NA REDE ARBITRUM EM 31/12/2024."
"Arbitrum";"Wallet";"";"None";"USDC";1.539859;6.2;9.54;9.02;"SALDO DE 1,539859 USDC CUSTODIADO NA REDE ARBITRUM EM 31/12/2024."
"Arbitrum";"Wallet";"";"None";"USDC.E";1.388378;6.2;8.6;0.0;"SALDO DE 1,388378 USDC.E CUSTODIADO NA REDE ARBITRUM EM 31/12/2024."
"Arbitrum";"Wallet";"";"None";"WBTC";1.216e-05;580485.36;7.06;3.33;"SALDO DE 0,00001216 WBTC CUSTODIADO NA REDE ARBITRUM EM 31/12/2024."
"Arbitrum";"Wallet";"";"None";"CUBE#5577757";1.0;0.0;0.0;0.99;"SALDO DE 1 CUBE#5577757 CUSTODIADO NA REDE ARBITRUM EM 31/12/2024."
"Arbitrum";"Wallet";"";"None";"CUBE#5578361";1.0;0.0;0.0;0.98;"SALDO DE 1 CUBE#5578361 CUSTODIADO NA REDE ARBITRUM EM 31/12/2024."
"Arbitrum - 0xe6b1...1A";"Wallet";"";"None";"ETH";0.0003033862;20724.06;6.29;6.92;"SALDO DE 0,00030339 ETH CUSTODIADO NA REDE ARBITRUM 0xe6b1 EM 31/12/2024."
"Arbitrum - 0xe6b1...1A";"Wallet";"";"None";"USDC";0.004538;6.2;0.03;0.03;"SALDO DE 0,004538 USDC CUSTODIADO NA REDE ARBITRUM 0xe6b1 EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"SUPER";3219.1272;8.54;27503.75;29761.03;"SALDO DE 3219,1272 SUPER CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"RSR";283817.4875;0.08;23599.06;5758.74;"SALDO DE 283817,4875 RSR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"SUI";816.8823;25.73;21015.84;6233.17;"SALDO DE 816,8823 SUI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"TROY";406453.0;0.04;15276.4;4930.7;"SALDO DE 406453 TROY CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"OM";635.7948;23.84;15156.72;14191.19;"SALDO DE 635,7948 OM CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"AVA";1680.51409365;8.42;14150.0;5555.49;"SALDO DE 1680,51409365 AVA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"IDEX";14907.8303;0.41;6137.0;5637.7;"SALDO DE 14907,8303 IDEX CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"RARE";8715.22259549;0.7;6068.57;5988.79;"SALDO DE 8715,22259549 RARE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"THETA";429.7698;13.78;5921.74;5730.73;"SALDO DE 429,7698 THETA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"VIDT";29381.867;0.2;5787.81;5069.14;"SALDO DE 29381,867 VIDT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"HOT";337193.469;0.01;4871.92;5928.89;"SALDO DE 337193,469 HOT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"CAKE";299.280405;15.69;4696.23;5371.91;"SALDO DE 299,280405 CAKE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"CELR";38885.7796;0.12;4632.22;5667.34;"SALDO DE 38885,7796 CELR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"NKN";7752.793;0.57;4407.49;4964.82;"SALDO DE 7752,793 NKN CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"EOS";819.86146;4.82;3949.74;4990.51;"SALDO DE 819,86146 EOS CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"VIC";1423.00714;2.47;3520.0;5022.73;"SALDO DE 1423,00714 VIC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"XVS";58.19599;57.24;3331.25;4073.23;"SALDO DE 58,19599 XVS CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"STX";343.5881;9.52;3271.4;4989.82;"SALDO DE 343,5881 STX CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"GAL";204.155824;11.87;2423.6;4063.57;"SALDO DE 204,155824 GAL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"AXL";584.2152;4.04;2362.33;3879.35;"SALDO DE 584,2152 AXL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
