"asset";"total_quantity";"total_cost_brl";"total_value_brl";"description"
"BTC (Bitcoin)";1.30877606;452998.32;759725.34;"@ R$580,485.36 per BTC"
"PENDLE (Pendle)";5077.5187329;123500.5;154662.59;"@ R$30.46 per PENDLE"
"DOG (DOG•GO•TO•THE•MOON)";4127431.54129844;162166.77;152388.65;"@ R$0.04 per DOG"
"SOL (Solana)";58.30456519;55134.68;68917.65;"@ R$1,182.03 per SOL"
"SUI (Sui)";1296.79390963;21586.55;33362.47;"@ R$25.73 per SUI"
"FET (Artificial Superi...)";3577.48395405;32015.43;28342.74;"@ R$7.92 per FET"
"ETHFI (ether.fi)";1397.41204469;40665.86;18812.1;"@ R$13.46 per ETHFI"
"RENDER (Render Token)";406.4900509;19068.38;17189.85;"@ R$42.29 per RENDER"
"ZRO (LayerZero)";489.6;15212.92;15209.91;"@ R$31.07 per ZRO"
"FLOKI (Floki Inu)";13565115.66486308;19759.25;15125.65;"@ R$0.00 per FLOKI"
"ALGO (Algorand)";6362.0;15998.06;13307.8;"@ R$2.09 per ALGO"
"HBAR (Hedera Hashgraph)";7970.0;14220.83;13299.71;"@ R$1.67 per HBAR"
"TURBO (Turbo)";209598.0;14221.34;11971.8;"@ R$0.06 per TURBO"
"TAO (bittensor)";3.4951;11788.23;9608.7;"@ R$2,749.19 per TAO"
"ETH (Ethereum)";0.42996824;9142.6;8910.69;"@ R$20,724.06 per ETH"
"BB (BounceBit)";1743.9;5389.85;4523.83;"@ R$2.59 per BB"
"USDT (Tether)";339.65707188;2072.73;2104.43;"@ R$6.20 per USDT"
"MATIC (Polygon)";183.3976151;387.69;516.16;"@ R$2.81 per MATIC"
"BNB (Binance Coin)";0.08006534;264.56;351.75;"@ R$4,393.28 per BNB"
"AARBWETH (Aave Arbitrum WETH)";0.0009;14.45;18.65;"@ R$20,724.06 per AARBWETH"
"XRP (Ripple)";3.8e-07;0.0;0.0;"@ R$13.00 per XRP"
"VARIABLEDEBTARBUSDT (Aave Arbitrum";999.852356;0.0;0.0;"@ R$0.00 per VARIABLEDEBTARBUSDT"
"UNI-V3-POS#3626554 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#3632685 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#3632705 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"AARBWBTC (Aave Arbitrum WBTC)";0.0199858;7290.27;0.0;"@ R$0.00 per AARBWBTC"
