"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"PENDLE";5077.5187329;"123500,50";"SALDO DE 5077,5187329 PENDLE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"SOL";58.30456519;"55134,68";"SALDO DE 58,30456519 SOL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"SUI";1296.79390963;"21586,55";"SALDO DE 1296,79390963 SUI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BTC";0.05733569;"19845,24";"SALDO DE 0,05733569 BTC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"FET";3577.48395405;"32015,43";"SALDO DE 3577,48395405 FET CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ETHFI";1397.41204469;"40665,86";"SALDO DE 1397,41204469 ETHFI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"RENDER";406.4900509;"19068,38";"SALDO DE 406,4900509 RENDER CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ZRO";489.6;"15212,92";"SALDO DE 489,6 ZRO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ALGO";6362.0;"15998,06";"SALDO DE 6362 ALGO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"HBAR";7970.0;"14220,83";"SALDO DE 7970 HBAR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"TURBO";209598.0;"14221,34";"SALDO DE 209598 TURBO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"TAO";3.4951;"11788,23";"SALDO DE 3,4951 TAO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BB";1743.9;"5389,85";"SALDO DE 1743,9 BB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"MATIC";133.4795058;"282,17";"SALDO DE 133,4795058 MATIC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BNB";0.08006534;"264,56";"SALDO DE 0,08006534 BNB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"XRP";3.8e-07;"0,00";"SALDO DE 0,00000038 XRP CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"DOG";4127431.541298433;"162166,77";"SALDO DE 4127431,54129843 DOG CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"FLOKI";13565115.66486308;"19759,25";"SALDO DE 13565115,66486308 FLOKI CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"BTC";0.0106135411;"3673,60";"SALDO DE 0,01061354 BTC CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"USDT";139.7570718763;"852,86";"SALDO DE 139,75707188 USDT CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"ETH";0.3342796243;"7107,93";"SALDO DE 0,33427962 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"AARBWETH";0.0009;"14,45";"SALDO DE 0,0009 AARBWETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"VARIABLEDEBTARBUSDT";999.852356;"0,00";"SALDO DE 999,852356 VARIABLEDEBTARBUSDT CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"UNI-V3-POS#3626554";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3626554 CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"UNI-V3-POS#3632685";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3632685 CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"UNI-V3-POS#3632705";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3632705 CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"AARBWBTC";0.0199858;"7290,27";"SALDO DE 0,0199858 AARBWBTC CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"USDT";100.0;"610,24";"SALDO DE 100 USDT CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON EM 31/12/2024.";""
"ETH";0.0019986178;"42,50";"SALDO DE 0,00199862 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM 0xcf49 EM 31/12/2024.";""
"ETH";0.0487;"1035,53";"SALDO DE 0,0487 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM EM 31/12/2024.";""
"ETH";0.04499;"956,64";"SALDO DE 0,04499 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE OPTIMISM EM 31/12/2024.";""
"USDT";99.9;"609,63";"SALDO DE 99,9 USDT CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0xcf49 EM 31/12/2024.";""
"MATIC";49.918109298;"105,52";"SALDO DE 49,9181093 MATIC CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0xcf49 EM 31/12/2024.";""
"BTC";1.24082683;"429479,49";"SALDO DE 1,24082683 BTC CUSTODIADO NA REDE DZZJARUXD EM 31/12/2024.";""
