"wallet_name_raw";"wallet_type";"address";"blockchain";"currency";"amount";"price";"value";"cost_brl";"irpf_description"
"Binance";"Exchange";"";"Exchange";"PENDLE";5077.5187329;30.46;154662.59;123500.5;"SALDO DE 5077,5187329 PENDLE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"SOL";58.30456519;1182.03;68917.65;55134.68;"SALDO DE 58,30456519 SOL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"SUI";1296.79390963;25.73;33362.47;21586.55;"SALDO DE 1296,79390963 SUI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"BTC";0.05733569;580485.36;33282.53;19845.24;"SALDO DE 0,05733569 BTC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"FET";3577.48395405;7.92;28342.74;32015.43;"SALDO DE 3577,48395405 FET CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"ETHFI";1397.41204469;13.46;18812.1;40665.86;"SALDO DE 1397,41204469 ETHFI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"RENDER";406.4900509;42.29;17189.85;19068.38;"SALDO DE 406,4900509 RENDER CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"ZRO";489.6;31.07;15209.91;15212.92;"SALDO DE 489,6 ZRO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"ALGO";6362.0;2.09;13307.8;15998.06;"SALDO DE 6362 ALGO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"HBAR";7970.0;1.67;13299.71;14220.83;"SALDO DE 7970 HBAR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"TURBO";209598.0;0.06;11971.8;14221.34;"SALDO DE 209598 TURBO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"TAO";3.4951;2749.19;9608.7;11788.23;"SALDO DE 3,4951 TAO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"BB";1743.9;2.59;4523.83;5389.85;"SALDO DE 1743,9 BB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"MATIC";133.4795058;2.81;375.67;282.17;"SALDO DE 133,4795058 MATIC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"BNB";0.08006534;4393.28;351.75;264.56;"SALDO DE 0,08006534 BNB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"XRP";3.8e-07;13.0;0.0;0.0;"SALDO DE 0,00000038 XRP CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"CoinEx";"Exchange";"";"Exchange";"DOG";4127431.541298433;0.04;152388.65;162166.77;"SALDO DE 4127431,54129843 DOG CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024."
"CoinEx";"Exchange";"";"Exchange";"FLOKI";13565115.66486308;0.0;15125.65;19759.25;"SALDO DE 13565115,66486308 FLOKI CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024."
