"asset";"total_quantity";"total_cost_brl";"total_value_brl";"description"
"SUI (Sui)";1604.5860757;27069.45;41281.0;"@ R$25.73 per SUI"
"ENA (Ethena)";4229.6586892;13750.13;24025.72;"@ R$5.68 per ENA"
"DOG (DOG•GO•TO•THE•MOON)";179632.921175;5207.74;6632.22;"@ R$0.04 per DOG"
"VISTA (Ethervista)";30.41242991;3262.05;6088.58;"@ R$200.20 per VISTA"
"USUAL (Usual)";926.68765662;5379.97;5182.76;"@ R$5.59 per USUAL"
"SPEC (Spectral)";75.6618148;6090.53;4467.49;"@ R$59.05 per SPEC"
"DRIFT (Drift)";356.211468;2392.72;3194.87;"@ R$8.97 per DRIFT"
"CKB (Nervos Network)";27891.68623042;2661.86;1958.61;"@ R$0.07 per CKB"
"CPOOL (Clearpool)";739.81944;1445.9;1956.68;"@ R$2.64 per CPOOL"
"AAVE (Aave)";1.00677204;1075.1;1947.87;"@ R$1,934.77 per AAVE"
"LDO (Lido DAO Token)";159.19074;2305.12;1724.89;"@ R$10.84 per LDO"
"MORPHO (Morpho)";73.4265;1054.18;1581.4;"@ R$21.54 per MORPHO"
"PHA (Phala.Network)";491.88516705;1252.92;1294.73;"@ R$2.63 per PHA"
"ZRO (LayerZero)";41.1826689;1248.15;1279.38;"@ R$31.07 per ZRO"
"ATA (Automata Network)";1008.88119628;1255.51;1147.14;"@ R$1.14 per ATA"
"LINK (Chainlink)";8.04479142;876.59;997.62;"@ R$124.01 per LINK"
"RAY (Raydium)";32.85232959;825.84;996.64;"@ R$30.34 per RAY"
"GOAT (Goatseus Maximus)";231.855979;819.7;736.53;"@ R$3.18 per GOAT"
"MOG (MOG Coin)";36009784.9847;370.14;455.16;"@ R$0.00 per MOG"
"VIRTUAL (Virtual Protocol)";0.8800268;18.08;21.5;"@ R$24.43 per VIRTUAL"
"RUNE (THORChain)";0.09532743;2.57;2.66;"@ R$27.90 per RUNE"
"USDT (Tether)";0.24012941;1.49;1.49;"@ R$6.20 per USDT"
"NEAR (NEAR Protocol)";0.03952203;1.28;1.21;"@ R$30.59 per NEAR"
"STX (Stacks)";0.09694609;0.99;0.92;"@ R$9.52 per STX"
"MKR (Maker)";9.061e-05;0.86;0.84;"@ R$9,260.22 per MKR"
"UNI (Uniswap)";0.00709916;0.3;0.58;"@ R$82.10 per UNI"
"SAGA (Saga)";0.03858411;0.47;0.34;"@ R$8.88 per SAGA"
"RENDER (Render Token)";0.00773204;0.28;0.33;"@ R$42.29 per RENDER"
"APT (Aptos)";0.0059905;0.28;0.32;"@ R$53.91 per APT"
"BNB (Binance Coin)";4.165e-05;0.11;0.18;"@ R$4,393.28 per BNB"
"ETH (Ethereum)";7.38e-06;0.15;0.15;"@ R$20,724.06 per ETH"
"OM (MANTRA)";0.0060608;0.08;0.14;"@ R$23.84 per OM"
"IMX (Immutable X)";0.00877525;0.07;0.07;"@ R$8.21 per IMX"
"SUPER (SuperVerse)";0.0078702;0.08;0.07;"@ R$8.54 per SUPER"
"AITECH (Solidus Ai Tech)";0.096545;0.02;0.05;"@ R$0.53 per AITECH"
"TURBO (Turbo)";0.76470621;0.04;0.04;"@ R$0.06 per TURBO"
"SOL (Solana)";3.254e-05;0.01;0.04;"@ R$1,182.03 per SOL"
"PNUT (Peanut the Squirrel)";0.007737;0.07;0.03;"@ R$4.34 per PNUT"
"ONDO (Ondo)";0.0034525;0.01;0.03;"@ R$8.27 per ONDO"
"LISTA (Lista DAO)";0.0092695;0.01;0.02;"@ R$2.54 per LISTA"
"HNT (Helium)";0.000542;0.04;0.02;"@ R$37.44 per HNT"
"BTC (Bitcoin)";3e-08;0.0;0.02;"@ R$580,485.36 per BTC"
"PENDLE (Pendle)";0.0004714;0.01;0.01;"@ R$30.46 per PENDLE"
"ACT (Act I : The AI Pr...)";0.005851;0.02;0.01;"@ R$1.76 per ACT"
"ALGO (Algorand)";0.0048414;0.02;0.01;"@ R$2.09 per ALGO"
"POPCAT (Popcat)";0.0017061;0.02;0.01;"@ R$4.62 per POPCAT"
"HIPPO (sudeng)";0.020387;0.0;0.0;"@ R$0.06 per HIPPO"
"PYTH (Pyth Network)";0.0001506;0.0;0.0;"@ R$2.20 per PYTH"
"WIF (dogwifhat)";2.5e-05;0.0;0.0;"@ R$11.83 per WIF"
"SHIB (SHIBA INU)";0.61843;0.0;0.0;"@ R$0.00 per SHIB"
"MAGA (MAGA)";0.08575;0.0;0.0;"@ R$0.00 per MAGA"
"DEGEN (Degen)";0.0004861;0.0;0.0;"@ R$0.06 per DEGEN"
"PENG (Penguin Coin)";0.002697;0.0;0.0;"@ R$0.00 per PENG"
