"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"USUAL";926.68765662;"5379,97";"SALDO DE 926,68765662 USUAL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"CKB";27891.68623042;"2661,86";"SALDO DE 27891,68623042 CKB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"AAVE";1.00677204;"1075,10";"SALDO DE 1,00677204 AAVE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"PHA";491.88516705;"1252,92";"SALDO DE 491,88516705 PHA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ZRO";41.18215681;"1248,13";"SALDO DE 41,18215681 ZRO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ATA";1008.88119628;"1255,51";"SALDO DE 1008,88119628 ATA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"LINK";8.04479142;"876,59";"SALDO DE 8,04479142 LINK CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"RAY";32.85232959;"825,84";"SALDO DE 32,85232959 RAY CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"RUNE";0.09532743;"2,57";"SALDO DE 0,09532743 RUNE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"NEAR";0.03952203;"1,28";"SALDO DE 0,03952203 NEAR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"MKR";9.061e-05;"0,86";"SALDO DE 0,00009061 MKR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"STX";0.08699609;"0,89";"SALDO DE 0,08699609 STX CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"UNI";0.00709916;"0,30";"SALDO DE 0,00709916 UNI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"USDT";0.08085543;"0,50";"SALDO DE 0,08085543 USDT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"SAGA";0.03858411;"0,47";"SALDO DE 0,03858411 SAGA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"RENDER";0.00773204;"0,28";"SALDO DE 0,00773204 RENDER CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ETH";7.38e-06;"0,15";"SALDO DE 0,00000738 ETH CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"IMX";0.00877525;"0,07";"SALDO DE 0,00877525 IMX CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"TURBO";0.76470621;"0,04";"SALDO DE 0,76470621 TURBO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"SOL";3.254e-05;"0,01";"SALDO DE 0,00003254 SOL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"PENDLE";0.0004714;"0,01";"SALDO DE 0,0004714 PENDLE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BNB";1.04e-06;"0,00";"SALDO DE 0,00000104 BNB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"WIF";2.5e-05;"0,00";"SALDO DE 0,000025 WIF CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"SUI";1604.580984;"27069,36";"SALDO DE 1604,580984 SUI CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"ENA";4229.6586892;"13750,13";"SALDO DE 4229,6586892 ENA CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"SPEC";75.6618148;"6090,53";"SALDO DE 75,6618148 SPEC CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"DRIFT";356.211468;"2392,72";"SALDO DE 356,211468 DRIFT CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
"CPOOL";739.81944;"1445,90";"SALDO DE 739,81944 CPOOL CUSTODIADO NA EXCHANGE BYBIT EM 31/12/2024.";""
