"wallet_name_raw";"wallet_type";"address";"blockchain";"currency";"amount";"price";"value";"cost_brl";"irpf_description"
"Binance";"Exchange";"";"Exchange";"USUAL";926.68765662;5.59;5182.76;5379.97;"SALDO DE 926,68765662 USUAL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"CKB";27891.68623042;0.07;1958.61;2661.86;"SALDO DE 27891,68623042 CKB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"AAVE";1.00677204;1934.77;1947.87;1075.1;"SALDO DE 1,00677204 AAVE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"PHA";491.88516705;2.63;1294.73;1252.92;"SALDO DE 491,88516705 PHA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"ZRO";41.18215681;31.07;1279.36;1248.13;"SALDO DE 41,18215681 ZRO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"ATA";1008.88119628;1.14;1147.14;1255.51;"SALDO DE 1008,88119628 ATA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"LINK";8.04479142;124.01;997.62;876.59;"SALDO DE 8,04479142 LINK CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"RAY";32.85232959;30.34;996.64;825.84;"SALDO DE 32,85232959 RAY CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"RUNE";0.09532743;27.9;2.66;2.57;"SALDO DE 0,09532743 RUNE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"NEAR";0.03952203;30.59;1.21;1.28;"SALDO DE 0,03952203 NEAR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"MKR";9.061e-05;9260.22;0.84;0.86;"SALDO DE 0,00009061 MKR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"STX";0.08699609;9.52;0.83;0.89;"SALDO DE 0,08699609 STX CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"UNI";0.00709916;82.1;0.58;0.3;"SALDO DE 0,00709916 UNI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"USDT";0.08085543;6.2;0.5;0.5;"SALDO DE 0,08085543 USDT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"SAGA";0.03858411;8.88;0.34;0.47;"SALDO DE 0,03858411 SAGA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"RENDER";0.00773204;42.29;0.33;0.28;"SALDO DE 0,00773204 RENDER CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"ETH";7.38e-06;20724.06;0.15;0.15;"SALDO DE 0,00000738 ETH CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"IMX";0.00877525;8.21;0.07;0.07;"SALDO DE 0,00877525 IMX CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
