"asset";"total_quantity";"total_cost_brl";"total_value_brl";"description"
"BTC (Bitcoin)";4.63355085;872340.78;2689708.42;"@ R$580,485.36 per BTC"
"LDO (Lido DAO Token)";21629.74203131;123317.79;234366.33;"@ R$10.84 per LDO"
"ETH (Ethereum)";6.29964769;69702.0;130554.3;"@ R$20,724.06 per ETH"
"SUI (Sui)";3777.005061;41669.32;97170.57;"@ R$25.73 per SUI"
"MATIC (Polygon)";31389.59371472;70609.85;88344.66;"@ R$2.81 per MATIC"
"IO (io.net)";4569.40679;44123.77;83307.09;"@ R$18.23 per IO"
"DOT (Polkadot)";915.40733513;19772.63;37875.37;"@ R$41.38 per DOT"
"ONDO (Ondo)";4265.66683111;17176.17;35287.83;"@ R$8.27 per ONDO"
"PEPE (Pepe)";272847292.1300005;15641.37;34542.47;"@ R$0.00 per PEPE"
"DOG (DOG•GO•TO•THE•MOON)";884494.74541035;19060.88;32656.38;"@ R$0.04 per DOG"
"HBAR (Hedera Hashgraph)";17765.816;15748.35;29646.19;"@ R$1.67 per HBAR"
"MKR (Maker)";3.03197779;28543.74;28076.79;"@ R$9,260.22 per MKR"
"LINK (Chainlink)";208.60345933;14754.44;25868.66;"@ R$124.01 per LINK"
"WIF (dogwifhat)";1766.27008175;14954.34;20901.83;"@ R$11.83 per WIF"
"WETH (WETH)";0.93687426;12506.08;19433.69;"@ R$20,743.11 per WETH"
"PENDLE (Pendle)";633.2979;9855.56;19290.42;"@ R$30.46 per PENDLE"
"ADA (Cardano)";3282.51420001;12058.49;17378.8;"@ R$5.29 per ADA"
"AERO (Aerodrome Finance)";2064.88798005;13066.31;16878.06;"@ R$8.17 per AERO"
"XRP (Ripple)";1122.39803263;5250.41;14589.85;"@ R$13.00 per XRP"
"NOT (Notcoin)";335358.5492;12043.19;13230.2;"@ R$0.04 per NOT"
"SOL (Solana)";11.13032588;15863.81;13156.36;"@ R$1,182.03 per SOL"
"FET (Artificial Superi...)";1354.69419536;11672.74;10732.61;"@ R$7.92 per FET"
"SEI (Sei)";4089.7062;5328.66;10168.23;"@ R$2.49 per SEI"
"DOGE (Dogecoin)";4477.99700001;9205.94;8846.3;"@ R$1.98 per DOGE"
"USUAL (Usual)";1020.978;3817.14;5710.11;"@ R$5.59 per USUAL"
"TIA (Celestia)";164.82366201;7269.79;4761.66;"@ R$28.89 per TIA"
"OP (Optimism)";424.71486;2962.4;4661.46;"@ R$10.98 per OP"
"MIOTA (IOTA)";2587.409;2380.95;4606.97;"@ R$1.78 per MIOTA"
"ATOM (Cosmos)";118.83858017;3048.92;4581.76;"@ R$38.55 per ATOM"
"INJ (Injective Protocol)";33.42567;3809.29;4075.0;"@ R$121.91 per INJ"
"NEAR (NEAR Protocol)";129.04003482;2722.3;3947.6;"@ R$30.59 per NEAR"
"BRETT (Brett)";5325.43312344;2170.15;3878.71;"@ R$0.73 per BRETT"
"SHIDO (Shido (new))";947400.56681291;395.42;3690.65;"@ R$0.00 per SHIDO"
"PUPS (PUPS (Ordinals))";254.2280648;23102.87;2805.71;"@ R$11.04 per PUPS"
"XMR (Monero)";1.87234055;1053.84;2259.27;"@ R$1,206.66 per XMR"
"JASMY (Jasmy)";7692.2001;796.72;1524.14;"@ R$0.20 per JASMY"
"NAKA (Nakamoto Games)";246.5;1030.47;1492.21;"@ R$6.05 per NAKA"
"CORE (Core DAO)";197.15265;1106.62;1295.65;"@ R$6.57 per CORE"
"ARTY (Artyfact Metaverse)";238.19157;817.29;1193.66;"@ R$5.01 per ARTY"
"WBTC (Wrapped Bitcoin)";0.00163427;732.75;948.67;"@ R$580,485.36 per WBTC"
"POPCAT (Popcat)";114.28783443;1000.0;527.64;"@ R$4.62 per POPCAT"
"NEIRO (First Neiro On Et...)";67739.19;760.58;414.13;"@ R$0.01 per NEIRO"
"RIO (Realio)";50.91379204;294.23;271.29;"@ R$5.33 per RIO"
"USDT (Tether)";41.98768773;162.6;260.15;"@ R$6.20 per USDT"
"PAAL (PAAL AI)";111.57327185;190.58;212.56;"@ R$1.91 per PAAL"
"STRUMP (Super Trump)";10623.43417245;465.22;127.35;"@ R$0.01 per STRUMP"
"BNB (Binance Coin)";0.01780235;40.86;78.21;"@ R$4,393.28 per BNB"
"TOTO (TOTO)";5995722732.594186;431.25;59.96;"@ R$0.00 per TOTO"
"DOGS (Dogcoin)";183560.31;777.49;40.64;"@ R$0.00 per DOGS"
"OM (MANTRA)";0.926;13.94;22.07;"@ R$23.84 per OM"
"LUNA (Terra V2)";2.73044528;0.0;7.08;"@ R$2.59 per LUNA"
"FTM (Fantom)";0.568;1.81;2.37;"@ R$4.17 per FTM"
"FDUSD (First Digital USD)";0.33309844;1.03;2.06;"@ R$6.20 per FDUSD"
"DUSK (Dusk Network)";0.982;1.0;1.45;"@ R$1.48 per DUSK"
"PAXG (PAX Gold)";6.33e-05;0.44;1.03;"@ R$16,309.80 per PAXG"
"DOGS (DOGS)";274.2353;0.0;0.9;"@ R$0.00 per DOGS"
"SAGA (Saga)";0.08743315;1.43;0.78;"@ R$8.88 per SAGA"
