"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"LDO";12677.373656;"72277,59";"SALDO DE 12677,373656 LDO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"IO";4569.40679;"44123,77";"SALDO DE 4569,40679 IO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"SUI";2771.3712;"30574,79";"SALDO DE 2771,3712 SUI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BTC";0.0711297312;"13391,32";"SALDO DE 0,07112973 BTC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"PEPE";272847292.13;"15641,37";"SALDO DE 272847292,13 PEPE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"HBAR";17765.816;"15748,35";"SALDO DE 17765,816 HBAR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"MATIC";10064.9579;"22640,79";"SALDO DE 10064,9579 MATIC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"WIF";1766.27008175;"14954,34";"SALDO DE 1766,27008175 WIF CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"PENDLE";633.2979;"9855,56";"SALDO DE 633,2979 PENDLE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ADA";3282.5142;"12058,49";"SALDO DE 3282,5142 ADA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"NOT";335301.84;"12041,15";"SALDO DE 335301,84 NOT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"SEI";4089.7062;"5328,66";"SALDO DE 4089,7062 SEI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"DOGE";4477.997;"9205,94";"SALDO DE 4477,997 DOGE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"FET";868.89204518;"7486,82";"SALDO DE 868,89204518 FET CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"USUAL";1020.978;"3817,14";"SALDO DE 1020,978 USUAL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"OP";424.71486;"2962,40";"SALDO DE 424,71486 OP CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"MIOTA";2587.409;"2380,95";"SALDO DE 2587,409 MIOTA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ATOM";117.44244;"3013,10";"SALDO DE 117,44244 ATOM CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"INJ";33.42567;"3809,29";"SALDO DE 33,42567 INJ CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"JASMY";7692.2001;"796,72";"SALDO DE 7692,2001 JASMY CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"NEIRO";67739.19;"760,58";"SALDO DE 67739,19 NEIRO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"DOGS";183560.31;"777,49";"SALDO DE 183560,31 DOGS CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"OM";0.926;"13,94";"SALDO DE 0,926 OM CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"USDT";1.70569366;"6,61";"SALDO DE 1,70569366 USDT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"BNB";0.00217404;"4,99";"SALDO DE 0,00217404 BNB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"LUNA";2.73044528;"0,00";"SALDO DE 2,73044528 LUNA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"FTM";0.568;"1,81";"SALDO DE 0,568 FTM CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
