"wallet_name_raw";"wallet_type";"address";"blockchain";"currency";"amount";"price";"value";"cost_brl";"irpf_description"
"Binance";"Exchange";"";"Exchange";"LDO";12677.373656;10.84;137364.08;72277.59;"SALDO DE 12677,373656 LDO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"IO";4569.40679;18.23;83307.09;44123.77;"SALDO DE 4569,40679 IO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"SUI";2771.3712;25.73;71298.74;30574.79;"SALDO DE 2771,3712 SUI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"BTC";0.0711297312;580485.36;41289.77;13391.32;"SALDO DE 0,07112973 BTC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"PEPE";272847292.13;0.0;34542.47;15641.37;"SALDO DE 272847292,13 PEPE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"HBAR";17765.816;1.67;29646.19;15748.35;"SALDO DE 17765,816 HBAR CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"MATIC";10064.9579;2.81;28327.39;22640.79;"SALDO DE 10064,9579 MATIC CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"WIF";1766.27008175;11.83;20901.83;14954.34;"SALDO DE 1766,27008175 WIF CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"PENDLE";633.2979;30.46;19290.42;9855.56;"SALDO DE 633,2979 PENDLE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"ADA";3282.5142;5.29;17378.8;12058.49;"SALDO DE 3282,5142 ADA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"NOT";335301.84;0.04;13227.97;12041.15;"SALDO DE 335301,84 NOT CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"SEI";4089.7062;2.49;10168.23;5328.66;"SALDO DE 4089,7062 SEI CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"DOGE";4477.997;1.98;8846.3;9205.94;"SALDO DE 4477,997 DOGE CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"FET";868.89204518;7.92;6883.83;7486.82;"SALDO DE 868,89204518 FET CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"USUAL";1020.978;5.59;5710.11;3817.14;"SALDO DE 1020,978 USUAL CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"OP";424.71486;10.98;4661.46;2962.4;"SALDO DE 424,71486 OP CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"MIOTA";2587.409;1.78;4606.97;2380.95;"SALDO DE 2587,409 MIOTA CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"ATOM";117.44244;38.55;4527.94;3013.1;"SALDO DE 117,44244 ATOM CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"INJ";33.42567;121.91;4075.0;3809.29;"SALDO DE 33,42567 INJ CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"JASMY";7692.2001;0.2;1524.14;796.72;"SALDO DE 7692,2001 JASMY CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"NEIRO";67739.19;0.01;414.13;760.58;"SALDO DE 67739,19 NEIRO CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
"Binance";"Exchange";"";"Exchange";"DOGS";183560.31;0.0;40.64;777.49;"SALDO DE 183560,31 DOGS CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024."
